year,linked_to_disease,declared_pandemic,licensed_vaccine,eradication,infection_incidence_count,death_count,Source
2009,TRUE,TRUE,FALSE,FALSE,1100000,14286,WHO
2010,FALSE,FALSE,TRUE,TRUE,nan,nan,
2011,FALSE,FALSE,FALSE,FALSE,nan,nan,
2012,FALSE,FALSE,FALSE,FALSE,nan,nan,
2013,FALSE,FALSE,FALSE,FALSE,nan,nan,
2014,FALSE,FALSE,FALSE,FALSE,nan,nan,
2015,FALSE,FALSE,FALSE,FALSE,nan,nan,
2016,FALSE,FALSE,FALSE,FALSE,nan,nan,
2017,FALSE,FALSE,FALSE,FALSE,nan,nan,
2018,FALSE,FALSE,FALSE,FALSE,nan,nan,
2019,FALSE,FALSE,FALSE,FALSE,nan,nan,
