year,linked_to_disease,declared_pandemic,vaccination_licensed,infection_incidence_count (wild),infection_incidence_count(vaccine_derived),"
Polio-compatible case",death_count,Source
1916,TRUE,TRUE,FALSE,nan,nan,nan,nan,https://extranet.who.int/polis/public/CaseCount.aspx
1917,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1918,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1919,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1920,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1921,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1922,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1923,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1924,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1925,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1926,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1927,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1928,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1929,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1930,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1931,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1932,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1933,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1934,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1935,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1936,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1937,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1938,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1939,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1940,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1941,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1942,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1943,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1944,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1945,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1946,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1947,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1948,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1949,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1950,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1951,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1952,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1953,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1954,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1955,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1956,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1957,FALSE,FALSE,TRUE,nan,nan,nan,nan,
1958,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1959,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1960,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1961,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1962,FALSE,FALSE,TRUE,nan,nan,nan,nan,
1963,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1964,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1965,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1966,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1967,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1968,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1969,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1970,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1971,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1972,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1973,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1974,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1975,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1976,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1977,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1978,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1979,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1980,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1981,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1982,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1983,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1984,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1985,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1986,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1987,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1988,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1989,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1990,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1991,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1992,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1993,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1994,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1995,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1996,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1997,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1998,FALSE,FALSE,FALSE,nan,nan,nan,nan,
1999,FALSE,FALSE,FALSE,nan,nan,nan,nan,
2000,FALSE,FALSE,FALSE,719,12,1054,nan,
2001,FALSE,FALSE,FALSE,483,13,1103,nan,
2002,FALSE,FALSE,FALSE,1918,4,975,nan,
2003,FALSE,FALSE,FALSE,784,0,621,nan,
2004,FALSE,FALSE,FALSE,1255,2,700,nan,
2005,FALSE,FALSE,FALSE,1979,51,1001,nan,
2006,FALSE,FALSE,FALSE,1997,25,908,nan,
2007,FALSE,FALSE,FALSE,1315,72,653,nan,
2008,FALSE,FALSE,FALSE,1651,85,855,nan,
2009,FALSE,FALSE,FALSE,1604,184,806,nan,
2010,FALSE,FALSE,FALSE,1352,60,579,nan,
2011,FALSE,FALSE,FALSE,650,66,480,nan,
2012,FALSE,FALSE,FALSE,223,71,315,nan,
2013,FALSE,FALSE,FALSE,46,65,403,nan,
2014,FALSE,FALSE,FALSE,349,56,285,nan,
2015,FALSE,FALSE,FALSE,74,32,277,nan,
2016,FALSE,FALSE,FALSE,37,5,211,nan,
2017,FALSE,FALSE,FALSE,22,96,259,nan,
2018,FALSE,FALSE,FALSE,33,104,137,nan,
2019,FALSE,FALSE,FALSE,163,259,125,nan,
