year,count
1974,284289
1975,327013
1976,450271
1977,542408
1978,477923
1979,442640
1980,3852242
1981,4078455
1982,3623758
1983,3586101
1984,3026973
1985,2819553
1986,2078696
1987,1682847
1988,1663940
1989,1822390
1990,1325074
1991,1370243
1992,1481192
1993,1143945
1994,926808
1995,720391
1996,870218
1997,825673
1998,694466
1999,752407
2000,853479
2001,849173
2002,586471
2003,679856
2004,513406
2005,585701
2006,377576
2007,285031
2008,278751
2009,278637
2010,343806
2011,359332
2012,212376
2013,275307
2014,282078
2015,214816
2016,132413
2017,173457
2018,353236
