Year,January,February,March,April,May,June,July,August,September,October,November,December,year_total
2011,17877.0,18584.0,24773.0,22609.0,19175.0,13340.0,8544.0,6162.0,4972.0,4855.0,5753.0,6907.0,153551.0
2012,15864.0,14233.0,15121.0,13067.0,12622.0,9485.0,6797.0,5943.0,5202.0,5000.0,5781.0,6514.0,115629.0
2013,18581.0,24405.0,31344.0,24728.0,20674.0,13284.0,10264.0,7309.0,6405.0,6770.0,8611.0,7178.0,179553.0
2014,39058.0,36695.0,40688.0,40596.0,32738.0,22916.0,16617.0,14215.0,12194.0,11770.0,11881.0,14710.0,294078.0
2015,26184.0,34450.0,35843.0,38135.0,34542.0,22624.0,13755.0,10252.0,9077.0,8060.0,7795.0,10790.0,251507.0
2016,21755.0,27723.0,37914.0,27768.0,18093.0,10388.0,6204.0,6731.0,5396.0,6286.0,7772.0,10752.0,186782.0
2017,15303.0,16578.0,22756.0,18162.0,15098.0,10921.0,9455.0,8654.0,7774.0,7960.0,10564.0,12343.0,155568.0
2018,18267.0,22575.0,30796.0,28468.0,28906.0,19171.0,15732.0,11521.0,11854.0,21446.0,34139.0,42062.0,284937.0
2019,91947.0,122550.0,111578.0,65751.0,38178.0,20181.0,16866.0,14796.0,14138.0,11857.0,10933.0,7929.0,526704.0
2020,11989.0,2348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14337.0
