Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
17/3/03,Germany,1,0,0
17/3/03,Canada,8,2,0
17/3/03,Singapore,20,0,0
17/3/03,"Hong Kong SAR, China",95,1,0
17/3/03,Switzerland,2,0,0
17/3/03,Thailand,1,0,0
17/3/03,Viet Nam,40,1,0
18/3/03,Germany,2,0,0
18/3/03,Canada,8,2,0
18/3/03,China,0,0,0
18/3/03,Singapore,23,0,0
18/3/03,"Hong Kong SAR, China",123,1,0
18/3/03,"Taiwan, China",3,0,0
18/3/03,Thailand,1,0,0
18/3/03,Viet Nam,57,1,0
18/3/03,Slovenia,1,0,0
18/3/03,United Kingdom,1,0,0
19/3/03,Canada,8,2,0
19/3/03,China,0,0,0
19/3/03,Germany,1,0,0
19/3/03,"Hong Kong SAR, China",150,5,0
19/3/03,Singapore,31,0,0
19/3/03,Slovenia,1,0,0
19/3/03,Spain,1,0,0
19/3/03,"Taiwan, China",3,0,0
19/3/03,Thailand,1,0,0
19/3/03,United Kingdom,1,0,0
19/3/03,United States,11,0,0
19/3/03,Viet Nam,56,2,0
20/3/03,Canada,9,2,0
20/3/03,China,0,0,0
20/3/03,Germany,1,0,0
20/3/03,"Hong Kong SAR, China",173,6,0
20/3/03,Singapore,34,0,0
20/3/03,Slovenia,1,0,0
20/3/03,Spain,1,0,0
20/3/03,Switzerland,7,0,0
20/3/03,"Taiwan, China",4,0,0
20/3/03,Thailand,1,0,0
20/3/03,United Kingdom,2,0,0
20/3/03,United States,11,0,0
20/3/03,Viet Nam,62,2,0
21/3/03,Canada,9,2,0
21/3/03,China,0,0,0
21/3/03,Germany,1,0,0
21/3/03,"Hong Kong SAR, China",203,6,0
21/3/03,Italy,1,0,0
21/3/03,Republic of Ireland,1,0,0
21/3/03,Singapore,39,0,0
21/3/03,Slovenia,1,0,0
21/3/03,Spain,1,0,0
21/3/03,Switzerland,7,0,0
21/3/03,"Taiwan, China",6,0,0
21/3/03,Thailand,4,0,0
21/3/03,United Kingdom,2,0,0
21/3/03,United States,13,0,0
21/3/03,Viet Nam,62,2,0
22/3/03,Canada,9,2,0
22/3/03,China,0,0,0
22/3/03,Germany,2,0,0
22/3/03,"Hong Kong SAR, China",222,7,0
22/3/03,Italy,2,0,0
22/3/03,Republic of Ireland,1,0,0
22/3/03,Singapore,44,0,0
22/3/03,Slovenia,1,0,0
22/3/03,Spain,1,0,0
22/3/03,Switzerland,7,0,0
22/3/03,"Taiwan, China",6,0,0
22/3/03,Thailand,4,0,0
22/3/03,United Kingdom,2,0,0
22/3/03,United States,22,0,0
22/3/03,Viet Nam,63,2,0
24/3/03,Canada,11,3,0
24/3/03,China,0,0,0
24/3/03,France,1,0,0
24/3/03,Germany,4,0,0
24/3/03,"Hong Kong SAR, China",260,10,0
24/3/03,Italy,2,0,0
24/3/03,Republic of Ireland,1,0,0
24/3/03,Singapore,65,0,0
24/3/03,Spain,1,0,0
24/3/03,Switzerland,2,0,0
24/3/03,"Taiwan, China",6,0,0
24/3/03,Thailand,5,0,0
24/3/03,United Kingdom,3,0,0
24/3/03,United States,37,0,0
24/3/03,Viet Nam,58,4,0
25/3/03,Canada,11,3,0
25/3/03,China,0,0,0
25/3/03,France,1,0,0
25/3/03,Germany,4,0,0
25/3/03,"Hong Kong SAR, China",286,10,0
25/3/03,Italy,2,0,0
25/3/03,Republic of Ireland,1,0,0
25/3/03,Singapore,69,0,0
25/3/03,Switzerland,2,0,0
25/3/03,"Taiwan, China",6,0,0
25/3/03,Thailand,5,0,0
25/3/03,United Kingdom,3,0,0
25/3/03,United States,39,0,0
25/3/03,Viet Nam,58,4,0
26/3/03,Canada,19,3,0
26/3/03,China,792,31,0
26/3/03,"Hong Kong SAR, China",316,10,0
26/3/03,"Taiwan, China",6,0,0
26/3/03,France,1,0,0
26/3/03,Germany,4,0,0
26/3/03,Italy,3,0,0
26/3/03,Republic of Ireland,2,0,0
26/3/03,Singapore,74,1,0
26/3/03,Switzerland,2,0,0
26/3/03,Thailand,3,0,0
26/3/03,United Kingdom,3,0,0
26/3/03,United States,40,0,0
26/3/03,Viet Nam,58,4,0
27/3/03,Canada,28,3,0
27/3/03,China,806,34,0
27/3/03,"Hong Kong SAR, China",367,10,0
27/3/03,"Taiwan, China",6,0,0
27/3/03,France,1,0,0
27/3/03,Germany,4,0,0
27/3/03,Italy,2,0,0
27/3/03,Republic of Ireland,2,0,0
27/3/03,Romania,3,0,0
27/3/03,Singapore,78,2,0
27/3/03,Switzerland,2,0,0
27/3/03,Thailand,3,0,0
27/3/03,United Kingdom,3,0,0
27/3/03,United States,45,0,0
27/3/03,Viet Nam,58,4,0
28/3/03,Canada,29,3,0
28/3/03,China,806,34,0
28/3/03,"Hong Kong SAR, China",425,10,0
28/3/03,"Taiwan, China",10,0,0
28/3/03,France,1,0,0
28/3/03,Germany,4,0,0
28/3/03,Italy,2,0,0
28/3/03,Republic of Ireland,2,0,0
28/3/03,Romania,3,0,0
28/3/03,Singapore,86,2,0
28/3/03,Switzerland,2,0,0
28/3/03,Thailand,3,0,0
