year,linked_to_disease,declared_pandemic,licensed_vaccine,eradication,infection_incidence_count,death_count,Source
2003,TRUE,TRUE,FALSE,nan,556360,45209,https://www.kaggle.com/imdevskp/sars-outbreak-2003-complete-dataset
2004,FALSE,FALSE,FALSE,nan,nan,nan,
2005,FALSE,FALSE,FALSE,nan,nan,nan,
2006,FALSE,FALSE,FALSE,nan,nan,nan,
2007,FALSE,FALSE,FALSE,nan,nan,nan,
2008,FALSE,FALSE,FALSE,nan,nan,nan,
2009,FALSE,FALSE,FALSE,nan,nan,nan,
2010,FALSE,FALSE,FALSE,nan,nan,nan,
2011,FALSE,FALSE,FALSE,nan,nan,nan,
2012,FALSE,FALSE,FALSE,nan,nan,nan,
2013,FALSE,FALSE,FALSE,nan,nan,nan,
2014,FALSE,FALSE,FALSE,nan,nan,nan,
2015,FALSE,FALSE,FALSE,nan,nan,nan,
2016,FALSE,FALSE,FALSE,nan,nan,nan,
2017,FALSE,FALSE,FALSE,nan,nan,nan,
2018,FALSE,FALSE,FALSE,nan,nan,nan,
2019,FALSE,FALSE,FALSE,nan,nan,nan,
2020,FALSE,FALSE,FALSE,nan,nan,nan,
